Date,Habit,Status
2024-02-25,Journaling,Skipped
2024-01-14,Reading,Completed
2024-11-20,Meditation,Partial
2024-05-10,Meditation,Partial
2024-07-10,Water Intake,Skipped
2024-11-10,Reading,Exceeded
2024-07-17,Reading,Completed
2024-06-13,Meditation,Skipped
2024-03-18,Journaling,Exceeded
2024-09-15,Water Intake,Partial
2024-07-06,Reading,Skipped
2024-09-04,Meditation,Completed
2024-08-23,Journaling,Exceeded
2024-04-02,Meditation,Completed
2024-12-09,Meditation,Partial
2024-03-21,Exercise,Partial
2024-06-30,Reading,Partial
2024-01-20,Exercise,Exceeded
2024-10-21,Reading,Skipped
2024-04-02,Meditation,Completed
2024-11-06,Exercise,Partial
2024-09-11,Water Intake,Skipped
2024-02-27,Meditation,Skipped
2024-06-02,Meditation,Completed
2024-02-16,Reading,Skipped
2024-05-05,Water Intake,Skipped
2024-06-30,Journaling,Skipped
2024-07-26,Water Intake,Skipped
2024-06-09,Meditation,Partial
2024-02-21,Reading,Exceeded
2024-10-08,Reading,Partial
2024-05-22,Reading,Skipped
2024-11-29,Journaling,Exceeded
2024-12-08,Meditation,Completed
2024-06-27,Water Intake,Completed
2024-12-13,Reading,Partial
2024-08-09,Reading,Partial
2024-06-02,Reading,Skipped
2024-06-08,Water Intake,Skipped
2024-02-18,Water Intake,Exceeded
2024-10-10,Journaling,Skipped
2024-11-23,Water Intake,Skipped
2024-05-10,Reading,Partial
2024-04-26,Journaling,Partial
2024-09-02,Meditation,Completed
2024-11-05,Reading,Exceeded
2024-04-25,Journaling,Partial
2024-09-28,Meditation,Completed
2024-01-07,Reading,Exceeded
2024-11-24,Exercise,Completed
2024-12-28,Journaling,Exceeded
2024-10-07,Journaling,Skipped
2024-09-25,Exercise,Skipped
2024-12-02,Journaling,Exceeded
2024-04-07,Journaling,Skipped
2024-07-28,Journaling,Partial
2024-07-04,Journaling,Completed
2024-12-26,Journaling,Partial
2024-10-01,Exercise,Partial
2024-12-01,Meditation,Partial
2024-08-08,Reading,Partial
2024-06-24,Meditation,Completed
2024-10-03,Journaling,Exceeded
2024-10-11,Exercise,Partial
2024-07-22,Journaling,Exceeded
2024-03-18,Water Intake,Skipped
2024-03-18,Exercise,Exceeded
2024-05-14,Reading,Exceeded
2024-05-21,Reading,Skipped
2024-03-22,Reading,Skipped
2024-03-14,Water Intake,Partial
2024-05-15,Water Intake,Exceeded
2024-11-08,Meditation,Partial
2024-09-17,Journaling,Completed
2024-07-14,Reading,Completed
2024-05-23,Exercise,Completed
2024-12-20,Exercise,Partial
2024-09-03,Water Intake,Partial
2024-01-20,Water Intake,Partial
2024-11-09,Meditation,Completed
2024-12-15,Reading,Completed
2024-02-21,Water Intake,Skipped
2024-01-25,Meditation,Completed
2024-07-03,Journaling,Partial
2024-11-11,Journaling,Skipped
2024-03-18,Exercise,Exceeded
2024-05-16,Water Intake,Exceeded
2024-10-26,Journaling,Skipped
2024-02-10,Water Intake,Skipped
2024-01-25,Water Intake,Partial
2024-10-16,Meditation,Exceeded
2024-05-05,Exercise,Exceeded
2024-02-03,Meditation,Completed
2024-07-14,Water Intake,Skipped
2024-08-06,Journaling,Completed
2024-03-01,Meditation,Skipped
2024-03-01,Water Intake,Partial
2024-01-08,Exercise,Completed
2024-06-17,Meditation,Exceeded
2024-10-14,Journaling,Skipped
2024-05-03,Journaling,Exceeded
2024-09-07,Journaling,Exceeded
2024-07-12,Exercise,Partial
2024-05-03,Journaling,Completed
2024-09-22,Meditation,Skipped
2024-03-02,Reading,Exceeded
2024-10-14,Meditation,Completed
2024-12-14,Exercise,Partial
2024-11-11,Reading,Partial
2024-08-11,Journaling,Completed
2024-03-16,Journaling,Partial
2024-09-21,Meditation,Completed
2024-12-18,Exercise,Exceeded
2024-06-20,Journaling,Completed
2024-08-23,Journaling,Partial
2024-01-05,Journaling,Partial
2024-10-25,Water Intake,Partial
2024-06-02,Meditation,Skipped
2024-05-30,Exercise,Partial
2024-02-25,Reading,Skipped
2024-12-03,Reading,Completed
2024-06-18,Water Intake,Exceeded
2024-11-08,Exercise,Completed
2024-01-06,Water Intake,Exceeded
2024-12-19,Exercise,Completed
2024-03-19,Water Intake,Exceeded
2024-11-29,Meditation,Skipped
2024-11-17,Meditation,Partial
2024-09-01,Journaling,Exceeded
2024-03-16,Water Intake,Partial
2024-08-02,Reading,Partial
2024-05-17,Exercise,Partial
2024-01-09,Meditation,Exceeded
2024-08-21,Exercise,Skipped
2024-04-02,Meditation,Skipped
2024-10-31,Journaling,Partial
2024-03-03,Exercise,Skipped
2024-04-27,Meditation,Skipped
2024-05-18,Reading,Completed
2024-07-21,Reading,Exceeded
2024-01-21,Water Intake,Partial
2024-11-02,Reading,Skipped
2024-07-21,Meditation,Completed
2024-06-08,Journaling,Partial
2024-12-29,Exercise,Partial
2024-06-21,Water Intake,Partial
2024-11-22,Water Intake,Exceeded
2024-09-21,Exercise,Partial
2024-10-18,Water Intake,Completed
2024-10-30,Reading,Partial
2024-10-16,Water Intake,Exceeded
2024-08-12,Meditation,Skipped
2024-08-12,Exercise,Exceeded
2024-05-04,Water Intake,Skipped
2024-06-27,Water Intake,Skipped
2024-02-29,Meditation,Skipped
2024-02-28,Water Intake,Partial
2024-09-02,Water Intake,Partial
2024-01-09,Journaling,Partial
2024-01-05,Exercise,Completed
2024-08-02,Meditation,Exceeded
2024-02-21,Reading,Skipped
2024-12-06,Water Intake,Exceeded
2024-03-21,Reading,Exceeded
2024-06-13,Exercise,Exceeded
2024-02-06,Reading,Partial
2024-12-03,Exercise,Exceeded
2024-05-09,Exercise,Completed
2024-08-21,Meditation,Skipped
2024-09-23,Water Intake,Exceeded
2024-09-25,Journaling,Exceeded
2024-03-21,Journaling,Exceeded
2024-10-17,Reading,Partial
2024-07-10,Reading,Skipped
2024-05-17,Exercise,Completed
2024-05-24,Meditation,Partial
2024-01-12,Water Intake,Partial
2024-09-22,Exercise,Exceeded
2024-07-13,Journaling,Partial
2024-03-27,Meditation,Skipped
2024-11-09,Exercise,Exceeded
2024-02-23,Water Intake,Partial
2024-07-03,Reading,Exceeded
2024-09-27,Reading,Exceeded
2024-01-07,Reading,Skipped
2024-12-18,Reading,Skipped
2024-02-29,Reading,Completed
2024-04-23,Water Intake,Completed
2024-04-30,Reading,Exceeded
2024-12-12,Water Intake,Partial
2024-12-05,Journaling,Completed
2024-01-21,Water Intake,Partial
2024-04-20,Meditation,Completed
2024-11-09,Journaling,Completed
2024-07-15,Reading,Partial
2024-03-01,Meditation,Skipped
2024-10-22,Reading,Skipped
2024-11-20,Journaling,Exceeded
2024-03-06,Journaling,Exceeded
2024-02-16,Exercise,Exceeded
2024-09-20,Water Intake,Completed
2024-02-12,Exercise,Partial
2024-11-09,Reading,Completed
2024-02-01,Journaling,Skipped
2024-07-21,Exercise,Skipped
2024-06-10,Water Intake,Exceeded
2024-01-30,Meditation,Partial
2024-08-16,Journaling,Completed
2024-06-17,Journaling,Completed
2024-02-18,Meditation,Completed
2024-12-19,Water Intake,Partial
2024-02-18,Water Intake,Partial
2024-02-10,Water Intake,Partial
2024-09-29,Journaling,Skipped
2024-08-25,Journaling,Partial
2024-03-24,Exercise,Exceeded
2024-06-02,Exercise,Exceeded
2024-05-29,Water Intake,Skipped
2024-11-25,Reading,Partial
2024-09-23,Water Intake,Skipped
2024-02-23,Exercise,Partial
2024-06-06,Meditation,Exceeded
2024-12-02,Exercise,Completed
2024-07-20,Meditation,Skipped
2024-06-09,Water Intake,Completed
2024-11-16,Exercise,Partial
2024-02-25,Water Intake,Skipped
2024-02-28,Journaling,Completed
2024-10-16,Journaling,Completed
2024-08-19,Exercise,Skipped
2024-01-09,Reading,Partial
2024-12-10,Water Intake,Exceeded
2024-03-17,Reading,Skipped
2024-03-29,Journaling,Partial
2024-05-30,Exercise,Exceeded
2024-05-06,Meditation,Skipped
2024-12-25,Journaling,Completed
2024-05-11,Journaling,Completed
2024-04-05,Meditation,Skipped
2024-12-01,Journaling,Exceeded
2024-12-12,Exercise,Partial
2024-04-07,Meditation,Skipped
2024-10-19,Journaling,Skipped
2024-12-01,Exercise,Exceeded
2024-04-22,Exercise,Partial
2024-07-17,Journaling,Completed
2024-11-28,Exercise,Exceeded
2024-08-29,Water Intake,Partial
2024-11-22,Journaling,Completed
2024-08-02,Journaling,Completed
2024-03-04,Reading,Exceeded
2024-01-13,Water Intake,Completed
2024-11-23,Water Intake,Completed
2024-04-30,Journaling,Exceeded
2024-11-15,Reading,Skipped
2024-10-25,Journaling,Skipped
2024-12-15,Journaling,Exceeded
2024-06-28,Exercise,Skipped
2024-01-11,Water Intake,Completed
2024-11-16,Meditation,Exceeded
2024-07-14,Reading,Exceeded
2024-11-27,Water Intake,Completed
2024-04-29,Reading,Partial
2024-05-12,Exercise,Exceeded
2024-08-11,Meditation,Exceeded
2024-03-06,Exercise,Exceeded
2024-12-02,Water Intake,Partial
2024-01-10,Journaling,Skipped
2024-06-22,Journaling,Partial
2024-06-03,Water Intake,Partial
2024-06-06,Meditation,Exceeded
2024-08-01,Water Intake,Completed
2024-06-30,Water Intake,Partial
2024-01-05,Exercise,Completed
2024-04-17,Meditation,Partial
2024-10-20,Water Intake,Partial
2024-06-18,Water Intake,Completed
2024-04-07,Reading,Exceeded
2024-07-21,Journaling,Exceeded
2024-11-20,Meditation,Completed
2024-04-09,Reading,Partial
2024-01-05,Exercise,Completed
2024-05-09,Water Intake,Skipped
2024-10-26,Journaling,Completed
2024-10-07,Exercise,Exceeded
2024-01-12,Reading,Partial
2024-04-07,Journaling,Partial
2024-09-22,Meditation,Exceeded
2024-03-20,Exercise,Partial
2024-04-21,Reading,Skipped
2024-07-04,Meditation,Skipped
2024-12-26,Exercise,Partial
2024-07-04,Meditation,Partial
2024-03-05,Reading,Skipped
2024-05-11,Water Intake,Partial
2024-01-25,Reading,Completed
2024-02-28,Exercise,Partial
2024-05-16,Meditation,Partial
2024-05-21,Meditation,Exceeded
2024-08-13,Exercise,Exceeded
2024-02-08,Meditation,Partial
2024-09-15,Water Intake,Completed
2024-11-29,Reading,Exceeded
2024-06-07,Journaling,Skipped
2024-08-20,Reading,Skipped
2024-09-20,Journaling,Partial
2024-04-16,Meditation,Partial
2024-01-19,Exercise,Partial
2024-01-17,Reading,Completed
2024-07-17,Reading,Completed
2024-10-14,Exercise,Completed
2024-10-25,Water Intake,Skipped
2024-04-12,Journaling,Skipped
2024-03-17,Reading,Completed
2024-01-23,Reading,Completed
2024-08-21,Meditation,Completed
2024-10-14,Water Intake,Partial
2024-01-18,Journaling,Skipped
2024-08-09,Meditation,Completed
2024-10-01,Water Intake,Completed
2024-06-22,Exercise,Skipped
2024-09-24,Water Intake,Exceeded
2024-01-09,Journaling,Partial
2024-07-13,Reading,Completed
2024-11-18,Water Intake,Skipped
2024-11-16,Exercise,Exceeded
2024-08-20,Exercise,Partial
2024-06-26,Meditation,Skipped
2024-03-23,Meditation,Partial
2024-08-31,Reading,Partial
2024-04-03,Water Intake,Skipped
2024-03-28,Reading,Skipped
2024-07-17,Reading,Exceeded
2024-04-29,Journaling,Completed
2024-01-01,Meditation,Exceeded
2024-04-02,Meditation,Skipped
2024-09-03,Reading,Exceeded
2024-12-17,Meditation,Exceeded
2024-07-16,Water Intake,Completed
2024-12-18,Meditation,Exceeded
2024-10-06,Journaling,Completed
2024-04-02,Reading,Partial
2024-05-18,Exercise,Skipped
2024-06-21,Meditation,Partial
2024-05-26,Journaling,Completed
2024-10-07,Reading,Exceeded
2024-08-02,Journaling,Exceeded
2024-01-08,Water Intake,Partial
2024-08-19,Exercise,Partial
2024-11-20,Water Intake,Completed
2024-12-29,Exercise,Skipped
2024-01-01,Exercise,Completed
2024-09-23,Meditation,Completed
2024-02-18,Exercise,Exceeded
2024-10-19,Meditation,Completed
2024-10-14,Meditation,Completed
2024-12-08,Water Intake,Completed
2024-04-23,Exercise,Skipped
2024-11-10,Exercise,Exceeded
2024-11-22,Meditation,Skipped
2024-04-26,Reading,Exceeded
2024-04-08,Journaling,Partial
2024-03-09,Meditation,Skipped
2024-11-20,Exercise,Completed
2024-03-30,Journaling,Exceeded
2024-04-18,Exercise,Partial
2024-04-06,Water Intake,Partial
2024-08-20,Reading,Exceeded
2024-02-24,Meditation,Exceeded
2024-12-23,Exercise,Skipped
2024-09-21,Journaling,Exceeded
2024-08-14,Water Intake,Skipped
2024-11-17,Exercise,Exceeded
2024-10-29,Journaling,Skipped
2024-09-15,Journaling,Exceeded
2024-10-10,Meditation,Exceeded
2024-07-23,Journaling,Skipped
2024-07-02,Reading,Skipped
2024-07-14,Journaling,Partial
2024-10-15,Reading,Skipped
2024-10-07,Exercise,Partial
2024-01-30,Water Intake,Skipped
2024-08-01,Water Intake,Completed
2024-08-14,Meditation,Completed
2024-09-01,Meditation,Partial
2024-06-11,Water Intake,Skipped
2024-02-04,Reading,Completed
2024-04-30,Water Intake,Completed
2024-09-27,Water Intake,Completed
2024-09-14,Water Intake,Partial
2024-06-05,Exercise,Completed
2024-03-18,Meditation,Exceeded
2024-01-20,Reading,Exceeded
2024-09-29,Exercise,Completed
2024-04-30,Exercise,Partial
2024-03-03,Meditation,Exceeded
2024-07-18,Meditation,Exceeded
2024-06-19,Exercise,Completed
2024-05-01,Journaling,Skipped
2024-08-25,Exercise,Partial
2024-12-12,Water Intake,Partial
2024-10-28,Water Intake,Completed
2024-10-27,Exercise,Completed
2024-11-21,Exercise,Exceeded
2024-10-13,Reading,Completed
2024-12-16,Meditation,Completed
2024-03-24,Exercise,Skipped
2024-09-02,Journaling,Skipped
2024-01-13,Meditation,Completed
2024-04-14,Reading,Exceeded
2024-07-07,Meditation,Partial
2024-10-30,Exercise,Partial
2024-10-07,Meditation,Skipped
2024-10-11,Reading,Completed
2024-03-11,Reading,Skipped
2024-11-12,Water Intake,Partial
2024-01-19,Water Intake,Partial
2024-11-28,Water Intake,Partial
2024-01-23,Journaling,Exceeded
2024-09-11,Journaling,Skipped
2024-04-10,Reading,Completed
2024-09-02,Reading,Exceeded
2024-05-10,Meditation,Skipped
2024-05-05,Journaling,Completed
2024-01-15,Meditation,Exceeded
2024-01-10,Meditation,Skipped
2024-10-20,Journaling,Partial
2024-11-02,Journaling,Completed
2024-06-14,Exercise,Partial
2024-08-30,Journaling,Completed
2024-03-14,Exercise,Skipped
2024-05-30,Exercise,Skipped
2024-05-17,Meditation,Completed
2024-07-29,Exercise,Exceeded
2024-12-17,Water Intake,Partial
2024-12-30,Meditation,Exceeded
2024-11-09,Exercise,Partial
2024-11-16,Exercise,Exceeded
2024-01-09,Water Intake,Partial
2024-11-24,Journaling,Completed
2024-02-16,Exercise,Partial
2024-06-26,Meditation,Partial
2024-07-19,Water Intake,Partial
2024-08-11,Journaling,Exceeded
2024-12-19,Journaling,Completed
2024-11-19,Journaling,Exceeded
2024-06-05,Reading,Skipped
2024-06-07,Water Intake,Partial
2024-10-04,Journaling,Completed
2024-07-06,Reading,Exceeded
2024-02-12,Water Intake,Exceeded
2024-08-29,Exercise,Exceeded
2024-01-01,Water Intake,Partial
2024-09-17,Water Intake,Skipped
2024-04-01,Journaling,Skipped
2024-08-19,Reading,Completed
2024-12-17,Meditation,Exceeded
2024-03-05,Exercise,Exceeded
2024-09-19,Water Intake,Completed
2024-01-19,Reading,Partial
2024-11-24,Reading,Skipped
2024-09-09,Journaling,Exceeded
2024-05-27,Water Intake,Completed
2024-04-09,Reading,Skipped
2024-04-17,Meditation,Completed
2024-09-02,Water Intake,Completed
2024-03-05,Water Intake,Partial
2024-11-18,Exercise,Exceeded
2024-03-10,Reading,Partial
2024-11-19,Water Intake,Partial
2024-10-28,Exercise,Exceeded
2024-06-29,Journaling,Skipped
2024-01-02,Water Intake,Skipped
2024-10-26,Journaling,Partial
2024-08-11,Water Intake,Partial
2024-03-22,Exercise,Exceeded
2024-01-19,Meditation,Exceeded
2024-03-03,Journaling,Partial
2024-11-09,Water Intake,Exceeded
2024-02-15,Water Intake,Skipped
2024-08-11,Reading,Exceeded
2024-07-21,Exercise,Partial
2024-02-26,Reading,Skipped
2024-12-11,Reading,Completed
2024-01-05,Meditation,Skipped
2024-02-01,Exercise,Partial
2024-04-10,Exercise,Completed
2024-06-21,Reading,Exceeded
2024-05-15,Reading,Partial
2024-03-18,Exercise,Completed
2024-09-01,Reading,Completed
2024-03-09,Water Intake,Exceeded
2024-05-29,Meditation,Partial
2024-01-16,Journaling,Partial
2024-05-13,Reading,Exceeded
2024-03-28,Journaling,Completed
2024-04-09,Exercise,Exceeded
2024-04-14,Exercise,Completed
2024-02-12,Exercise,Skipped
2024-01-16,Reading,Partial
2024-03-15,Exercise,Partial
2024-11-03,Journaling,Skipped
2024-02-08,Exercise,Partial
2024-01-22,Exercise,Exceeded
2024-02-14,Journaling,Exceeded
2024-07-05,Exercise,Completed
2024-03-07,Reading,Partial
2024-02-17,Meditation,Completed
2024-10-13,Reading,Exceeded
2024-07-06,Reading,Completed
2024-01-03,Meditation,Completed
2024-01-03,Meditation,Completed
2024-12-03,Exercise,Completed
2024-12-02,Water Intake,Exceeded
2024-05-09,Reading,Partial
2024-10-17,Water Intake,Completed
2024-07-10,Journaling,Completed
2024-05-26,Reading,Partial
2024-04-05,Reading,Exceeded
2024-04-23,Reading,Exceeded
2024-12-23,Journaling,Completed
2024-10-16,Reading,Exceeded
2024-10-20,Exercise,Skipped
2024-07-18,Reading,Exceeded
2024-12-17,Meditation,Skipped
2024-11-22,Meditation,Skipped
2024-05-27,Water Intake,Completed
2024-03-15,Journaling,Exceeded
2024-12-23,Journaling,Completed
2024-11-21,Journaling,Exceeded
2024-02-06,Journaling,Exceeded
2024-05-03,Exercise,Exceeded
2024-08-17,Exercise,Exceeded
2024-02-03,Exercise,Exceeded
2024-06-30,Journaling,Skipped
2024-07-18,Exercise,Skipped
2024-12-10,Water Intake,Partial
2024-10-26,Meditation,Completed
2024-10-15,Reading,Skipped
2024-06-04,Reading,Partial
2024-02-09,Exercise,Skipped
2024-12-25,Exercise,Partial
2024-03-05,Meditation,Partial
2024-12-22,Exercise,Skipped
2024-04-24,Journaling,Partial
2024-10-26,Meditation,Skipped
2024-05-20,Exercise,Skipped
2024-06-06,Meditation,Skipped
2024-12-05,Journaling,Exceeded
2024-12-04,Exercise,Partial
2024-05-04,Exercise,Exceeded
2024-01-24,Water Intake,Skipped
2024-12-29,Reading,Completed
2024-10-20,Journaling,Partial
2024-01-05,Journaling,Skipped
2024-08-23,Exercise,Partial
2024-12-29,Exercise,Exceeded
2024-11-08,Water Intake,Completed
2024-11-10,Reading,Skipped
2024-06-11,Journaling,Skipped
2024-11-03,Reading,Completed
2024-06-07,Water Intake,Skipped
2024-06-25,Water Intake,Completed
2024-05-25,Exercise,Partial
2024-03-10,Journaling,Skipped
2024-06-02,Journaling,Exceeded
2024-10-14,Water Intake,Completed
2024-11-10,Meditation,Exceeded
2024-11-16,Water Intake,Partial
2024-09-01,Reading,Exceeded
2024-03-28,Water Intake,Partial
2024-08-21,Water Intake,Partial
2024-01-26,Exercise,Exceeded
2024-12-23,Water Intake,Exceeded
2024-12-09,Reading,Skipped
2024-07-07,Water Intake,Skipped
2024-09-10,Water Intake,Exceeded
2024-08-30,Water Intake,Partial
2024-08-15,Reading,Completed
2024-09-24,Journaling,Completed
2024-09-10,Water Intake,Partial
2024-02-03,Water Intake,Partial
2024-03-16,Journaling,Partial
2024-05-13,Exercise,Skipped
2024-01-02,Meditation,Exceeded
2024-07-07,Journaling,Completed
2024-06-13,Water Intake,Skipped
2024-01-10,Journaling,Partial
2024-07-07,Meditation,Completed
2024-06-08,Reading,Partial
2024-02-11,Exercise,Partial
2024-06-01,Journaling,Skipped
2024-07-04,Water Intake,Completed
2024-11-21,Water Intake,Exceeded
2024-09-30,Water Intake,Partial
2024-08-22,Journaling,Completed
2024-01-19,Exercise,Partial
2024-10-09,Water Intake,Completed
2024-03-12,Exercise,Skipped
2024-11-07,Meditation,Partial
2024-05-01,Reading,Partial
2024-09-26,Water Intake,Exceeded
2024-07-17,Water Intake,Partial
2024-06-21,Reading,Exceeded
2024-06-20,Meditation,Partial
2024-08-04,Water Intake,Exceeded
2024-04-02,Reading,Partial
2024-03-17,Journaling,Partial
2024-01-25,Meditation,Completed
2024-03-09,Water Intake,Skipped
2024-11-20,Journaling,Partial
2024-06-25,Exercise,Exceeded
2024-11-06,Reading,Partial
2024-12-22,Exercise,Partial
2024-03-29,Water Intake,Exceeded
2024-01-20,Reading,Exceeded
2024-01-08,Journaling,Skipped
2024-06-17,Exercise,Exceeded
2024-10-22,Water Intake,Exceeded
2024-09-21,Exercise,Completed
2024-05-08,Journaling,Skipped
2024-09-26,Reading,Exceeded
2024-02-12,Meditation,Partial
2024-07-20,Journaling,Partial
2024-04-13,Journaling,Exceeded
2024-03-14,Exercise,Skipped
2024-10-07,Journaling,Completed
2024-07-09,Reading,Exceeded
2024-03-12,Reading,Skipped
2024-11-23,Journaling,Skipped
2024-09-09,Exercise,Exceeded
2024-03-13,Exercise,Exceeded
2024-04-27,Journaling,Exceeded
2024-06-23,Water Intake,Completed
2024-11-17,Meditation,Partial
2024-04-20,Reading,Completed
2024-08-13,Reading,Partial
2024-09-16,Reading,Skipped
2024-12-02,Water Intake,Exceeded
2024-07-30,Exercise,Partial
2024-10-07,Exercise,Partial
2024-08-07,Journaling,Partial
2024-04-04,Journaling,Completed
2024-08-03,Reading,Exceeded
2024-03-30,Exercise,Completed
2024-11-08,Reading,Completed
2024-03-12,Water Intake,Skipped
2024-01-12,Journaling,Exceeded
2024-04-21,Water Intake,Completed
2024-03-06,Exercise,Completed
2024-11-21,Reading,Exceeded
2024-08-13,Exercise,Completed
2024-07-02,Journaling,Skipped
2024-04-10,Water Intake,Partial
2024-01-08,Water Intake,Partial
2024-07-16,Reading,Partial
2024-09-20,Exercise,Completed
2024-11-22,Water Intake,Exceeded
2024-09-21,Meditation,Completed
2024-04-16,Meditation,Skipped
2024-10-11,Exercise,Exceeded
2024-04-23,Water Intake,Completed
2024-03-28,Journaling,Exceeded
2024-10-14,Journaling,Completed
2024-08-03,Journaling,Partial
2024-02-20,Exercise,Completed
2024-08-01,Meditation,Partial
2024-07-07,Water Intake,Partial
2024-07-02,Water Intake,Exceeded
2024-09-14,Exercise,Exceeded
2024-04-08,Reading,Skipped
2024-12-11,Reading,Partial
2024-01-08,Exercise,Completed
2024-02-05,Journaling,Partial
2024-03-03,Exercise,Completed
2024-04-15,Reading,Exceeded
2024-02-23,Meditation,Skipped
2024-09-12,Meditation,Completed
2024-08-28,Meditation,Completed
2024-03-06,Water Intake,Skipped
2024-08-19,Exercise,Partial
2024-05-04,Exercise,Partial
2024-04-07,Reading,Completed
2024-03-12,Journaling,Completed
2024-05-24,Journaling,Skipped
2024-05-06,Exercise,Partial
2024-07-12,Meditation,Exceeded
2024-09-14,Water Intake,Partial
2024-10-19,Water Intake,Partial
2024-01-31,Reading,Partial
2024-09-20,Water Intake,Skipped
2024-07-15,Water Intake,Exceeded
2024-02-29,Meditation,Completed
